aktion,variante,schritt_nr,akteur,schritt,ergebnis_status,karte,funktion,umsetzung,notiz
accept_booking_inquiry,standard,1,uli,Befehl annehmen,null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
accept_booking_inquiry,standard,2,max,Zeigt die Anfrage-Details zur Bestaetigung,wartet_uli,null,Tool search_booking_inquiries (Anfrage suchen) -> Max zeigt Details im Chat,umgesetzt,null
accept_booking_inquiry,standard,3,uli,Bestaetigt,null,null,"Uli bestaetigt im Chat (Freigabe, Modell A)",umgesetzt,null
accept_booking_inquiry,standard,4,max,Legt die Buchung an,abgeschlossen,null,Tool accept_booking_inquiry,umgesetzt,null
check_upcoming_bookings,automatik,1,max,"4 Pruefungen (fehlende Reinigung/Waesche, Timing, offene Zahlung), meldet Uli",null,null,Tool check_upcoming_bookings / runUpcomingBookingsControl,umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,1,max,Findet bereits vorhandene Reinigung und meldet das,wartet_uli,null,"Tool create_cleaning_for_booking: Vorab-Pruefung in executeCreateCleaningForBooking (Abfrage service_tasks, service_type=cleaning, booking_id) -> liefert bereits_vorhanden=true, legt KEINE zweite an",umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,2,max,Fragt: moechtest du sie aendern?,null,null,"System-Prompt Regel ""SONDERFALL: REINIGUNG EXISTIERT SCHON"" (chat-assistant)",umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,3,uli,Antwortet Ja,null,null,Uli antwortet im Chat (Freigabe),umgesetzt,null
create_cleaning_for_booking,sonderfall_vorhanden,4,max,"Zeigt Edit-Reinigungskarte, weiter wie Ablauf Reinigung aendern",null,Reinigungskarte (Edit-Dialog),buildEntityLinks -> Button (type=cleaning_task) -> ChatMessage.tsx oeffnet EditCleaningTaskDialog. Danach wie reschedule_cleaning. Zusaetzliche Reinigung nur mit force=true.,umgesetzt,null
create_cleaning_for_booking,standard,1,uli,Befehl: erstelle Reinigung fuer <Gast>,null,null,Uli im Chat (Freitext-Befehl an Max),umgesetzt,null
create_cleaning_for_booking,standard,2,max,Sucht Buchung(en) zum Gast,null,null,Tool search_bookings (Buchung zum Gast finden),umgesetzt,null
